trial,classical_winner,classical_score,classical_latency_ms,qsharp_winner,qsharp_score,qsharp_latency_ms
0,"LayoutRankResult(job_id='qjob_001000', status='completed', winner_id='cand_4', score=0.9433, backend='classical-baseline', candidates=[{'id': 'cand_4', 'difficulty': 0.7369947745842131, 'spacing': 0.4278064743526381, 'score': 0.9433}, {'id': 'cand_0', 'difficulty': 0.8218853141604512, 'spacing': 0.7028430036033247, 'score': 0.8957}, {'id': 'cand_2', 'difficulty': 0.5743261943206736, 'spacing': 0.5812153673237898, 'score': 0.8821}, {'id': 'cand_3', 'difficulty': 0.9826472487299178, 'spacing': 0.21728381514279313, 'score': 0.7273}, {'id': 'cand_1', 'difficulty': 0.27931168313985366, 'spacing': 0.41767346007113093, 'score': 0.6647}])",0.0,2.4849000037647784,cand_1,0.6319,2.4296000046888366
1,"LayoutRankResult(job_id='qjob_001001', status='completed', winner_id='cand_3', score=0.9192, backend='classical-baseline', candidates=[{'id': 'cand_3', 'difficulty': 0.8287168452753024, 'spacing': 0.46601169891493044, 'score': 0.9192}, {'id': 'cand_1', 'difficulty': 0.8081918191792725, 'spacing': 0.876433366166082, 'score': 0.8345}, {'id': 'cand_4', 'difficulty': 0.4995781157268162, 'spacing': 0.6841236054622192, 'score': 0.7961}, {'id': 'cand_0', 'difficulty': 0.8373207743679763, 'spacing': 0.15276360947323114, 'score': 0.7887}, {'id': 'cand_2', 'difficulty': 0.27301922771689147, 'spacing': 0.9122431929377974, 'score': 0.5689}])",0.0,0.036299999919719994,cand_2,0.8966,0.016699996194802225
2,"LayoutRankResult(job_id='qjob_001002', status='completed', winner_id='cand_3', score=0.8935, backend='classical-baseline', candidates=[{'id': 'cand_3', 'difficulty': 0.6968974655458992, 'spacing': 0.7365498363693046, 'score': 0.8935}, {'id': 'cand_0', 'difficulty': 0.6167587256175271, 'spacing': 0.47912518091032585, 'score': 0.8917}, {'id': 'cand_2', 'difficulty': 0.5871662147462637, 'spacing': 0.6634800696746438, 'score': 0.8569}, {'id': 'cand_4', 'difficulty': 0.5483167201883866, 'spacing': 0.14328820644190698, 'score': 0.7163}, {'id': 'cand_1', 'difficulty': 0.3767561384665973, 'spacing': 0.21730337552503515, 'score': 0.643}])",0.0,0.04810000245925039,cand_3,0.7947,0.015199999324977398
3,"LayoutRankResult(job_id='qjob_001003', status='completed', winner_id='cand_1', score=0.9642, backend='classical-baseline', candidates=[{'id': 'cand_1', 'difficulty': 0.777649405378974, 'spacing': 0.502049140522857, 'score': 0.9642}, {'id': 'cand_0', 'difficulty': 0.5978731367518426, 'spacing': 0.4239914111742311, 'score': 0.8583}, {'id': 'cand_3', 'difficulty': 0.4679207150104753, 'spacing': 0.5279896218463908, 'score': 0.8219}, {'id': 'cand_4', 'difficulty': 0.5610588520919266, 'spacing': 0.1791007705549268, 'score': 0.7383}, {'id': 'cand_2', 'difficulty': 0.5626877212770383, 'spacing': 0.12333311081036477, 'score': 0.7169}])",0.0,0.01720000000204891,cand_1,0.5275,0.012100004823878407
4,"LayoutRankResult(job_id='qjob_001004', status='completed', winner_id='cand_1', score=0.8949, backend='classical-baseline', candidates=[{'id': 'cand_1', 'difficulty': 0.6906240197401879, 'spacing': 0.7237380951809523, 'score': 0.8949}, {'id': 'cand_3', 'difficulty': 0.8640974993160009, 'spacing': 0.8604317486095934, 'score': 0.8074}, {'id': 'cand_2', 'difficulty': 0.6070902683585243, 'spacing': 0.26903041001696043, 'score': 0.8019}, {'id': 'cand_4', 'difficulty': 0.36770256961311204, 'spacing': 0.6854652885696753, 'score': 0.7164}, {'id': 'cand_0', 'difficulty': 0.53689992491208, 'spacing': 0.9784966010367756, 'score': 0.7007}])",0.0,0.016099991626106203,cand_1,0.7799,0.011299998732283711
5,"LayoutRankResult(job_id='qjob_001005', status='completed', winner_id='cand_4', score=0.8782, backend='classical-baseline', candidates=[{'id': 'cand_4', 'difficulty': 0.5906297810230927, 'spacing': 0.6153771542299395, 'score': 0.8782}, {'id': 'cand_1', 'difficulty': 0.6299657548102913, 'spacing': 0.8885206874360072, 'score': 0.7926}, {'id': 'cand_3', 'difficulty': 0.4859572562552244, 'spacing': 0.6955569666697503, 'score': 0.7834}, {'id': 'cand_2', 'difficulty': 0.6585255541665873, 'spacing': 0.9950714630662618, 'score': 0.7671}, {'id': 'cand_0', 'difficulty': 0.5864883171888078, 'spacing': 0.9119646993221749, 'score': 0.7571}])",0.0,0.016000005416572094,cand_2,0.9086,0.011399999493733048
6,"LayoutRankResult(job_id='qjob_001006', status='completed', winner_id='cand_4', score=0.8951, backend='classical-baseline', candidates=[{'id': 'cand_4', 'difficulty': 0.8102577684973762, 'spacing': 0.3780746107639499, 'score': 0.8951}, {'id': 'cand_3', 'difficulty': 0.36777365743525803, 'spacing': 0.5661642045115914, 'score': 0.7642}, {'id': 'cand_0', 'difficulty': 0.4772959652891416, 'spacing': 0.30577698647497664, 'score': 0.7387}, {'id': 'cand_2', 'difficulty': 0.4580116609296189, 'spacing': 0.10062591202202101, 'score': 0.6451}, {'id': 'cand_1', 'difficulty': 0.20991397622326258, 'spacing': 0.9377443233122602, 'score': 0.5209}])",0.0,0.014999997802078724,cand_1,0.6923,0.0109999964479357
7,"LayoutRankResult(job_id='qjob_001007', status='completed', winner_id='cand_4', score=0.9534, backend='classical-baseline', candidates=[{'id': 'cand_4', 'difficulty': 0.7071231019277391, 'spacing': 0.6022257078297499, 'score': 0.9534}, {'id': 'cand_2', 'difficulty': 0.7932465357654672, 'spacing': 0.8287903350561797, 'score': 0.8625}, {'id': 'cand_1', 'difficulty': 0.6750746796967766, 'spacing': 0.898308399171851, 'score': 0.8157}, {'id': 'cand_0', 'difficulty': 0.8847515108121744, 'spacing': 0.8204355467477905, 'score': 0.811}, {'id': 'cand_3', 'difficulty': 0.3797859282535463, 'spacing': 0.978563692057048, 'score': 0.6064}])",0.0,0.01589999010320753,cand_1,0.8742,0.010900010238401592
8,"LayoutRankResult(job_id='qjob_001008', status='completed', winner_id='cand_4', score=0.8779, backend='classical-baseline', candidates=[{'id': 'cand_4', 'difficulty': 0.8987968902247137, 'spacing': 0.6321717127215065, 'score': 0.8779}, {'id': 'cand_3', 'difficulty': 0.7290620369401268, 'spacing': 0.844402702357693, 'score': 0.8697}, {'id': 'cand_1', 'difficulty': 0.4722365086132852, 'spacing': 0.7373664803061372, 'score': 0.7584}, {'id': 'cand_0', 'difficulty': 0.6158590612548451, 'spacing': 0.9625589869960458, 'score': 0.7545}, {'id': 'cand_2', 'difficulty': 0.9401751524356363, 'spacing': 0.14529400062089162, 'score': 0.724}])",0.0,0.015199999324977398,cand_3,0.8596,0.010900010238401592
9,"LayoutRankResult(job_id='qjob_001009', status='completed', winner_id='cand_4', score=0.8402, backend='classical-baseline', candidates=[{'id': 'cand_4', 'difficulty': 0.8447289600262253, 'spacing': 0.292653198148604, 'score': 0.8402}, {'id': 'cand_3', 'difficulty': 0.6023756728725311, 'spacing': 0.83442411787376, 'score': 0.7977}, {'id': 'cand_2', 'difficulty': 0.9357146672202117, 'spacing': 0.8886258650623127, 'score': 0.7531}, {'id': 'cand_0', 'difficulty': 0.3441539347881213, 'spacing': 0.5386260457024796, 'score': 0.7519}, {'id': 'cand_1', 'difficulty': 0.26207336031873407, 'spacing': 0.5703100519673214, 'score': 0.6991}])",0.0,0.01479999627918005,cand_1,0.6546,0.010599993402138352
